Dataset t=0.001 t=0.1 t=0.5 t=0.9
FiftyWords 0.65 0.65 0.66 0.66
Adiac 0.62 0.63 0.63 0.64
Beef 0.40 0.40 0.57 0.67
CBF 0.35 0.46 0.64 0.87
ChlorineConcentration 0.82 0.82 0.82 0.82
CinCECGTorso 0.80 0.84 0.85 0.86
Coffee 0.71 0.89 0.89 0.89
CricketX 0.60 0.62 0.61 0.61
CricketY 0.65 0.68 0.68 0.68
CricketZ 0.66 0.66 0.66 0.66
DiatomSizeReduction 0.94 0.94 0.94 0.94
ECG200 0.88 0.89 0.89 0.89
ECGFiveDays 0.57 0.51 0.52 0.77
FaceAll 0.69 0.69 0.69 0.69
FaceFour 0.84 0.83 0.83 0.86
FacesUCR 0.76 0.76 0.77 0.77
Fish 0.80 0.79 0.79 0.79
GunPoint 0.91 0.91 0.91 0.91
Haptics 0.30 0.41 0.41 0.40
InlineSkate 0.25 0.28 0.27 0.27
ItalyPowerDemand 0.67 0.79 0.85 0.95
Lightning2 0.62 0.64 0.62 0.67
Lightning7 0.70 0.68 0.68 0.67
Mallat 0.44 0.70 0.73 0.80
MedicalImages 0.65 0.67 0.67 0.68
MoteStrain 0.58 0.58 0.58 0.58
OliveOil 0.43 0.80 0.77 0.83
OSULeaf 0.49 0.49 0.48 0.48
SonyAIBORobotSurface1 0.81 0.79 0.79 0.78
SonyAIBORobotSurface2 0.87 0.88 0.88 0.88
StarLightCurves 0.94 0.95 0.95 0.95
SwedishLeaf 0.84 0.83 0.83 0.83
Symbols 0.47 0.67 0.71 0.79
SyntheticControl 0.84 0.97 0.98 0.98
Trace 0.76 0.84 0.86 0.86
TwoLeadECG 0.73 0.72 0.72 0.72
TwoPatterns 0.93 0.93 0.93 0.93
UWaveGestureLibraryX 0.75 0.75 0.75 0.75
UWaveGestureLibraryY 0.60 0.67 0.68 0.68
UWaveGestureLibraryZ 0.71 0.71 0.71 0.71
Wafer 0.97 0.99 0.99 1.00
WordSynonyms 0.64 0.65 0.65 0.65
Yoga 0.82 0.83 0.83 0.83
NonInvasiveFatalECGThorax1 0.87 0.87 0.87 0.87
NonInvasiveFatalECGThorax2 0.88 0.88 0.88 0.88
