,NB,C45,SVML,SVMQ,BN,RandF,RotF,MLP,Euclidean_1NN,DTW_R1_1NN,DTW_Rn_1NN,DDTW_R1_1NN,DDTW_Rn_1NN,ERP_1NN,LCSS_1NN,MSM_1NN,TWE_1NN,WDDTW_1NN,WDTW_1NN,DD_DTW,DTD_C,DTW_F,ST,LS,FS,BoP,SAXVSM,BOSS,TSF,TSBF,LPS,ACF,PS,EE,CID_DTW,Flat-COTE,HIVE-COTE
Adiac,0.562659847,0.542199488,0.442455243,0.762148338,0.501278772,0.636828645,0.774936061,0.73657289,0.611253197,0.603580563,0.608695652,0.585677749,0.670076726,0.608695652,0.250639386,0.626598465,0.6342711,0.675191816,0.606138107,0.700767263,0.700767263,0.611253197,0.782608696,0.52173913,0.59335,0.588235294,0.452685422,0.764705882,0.731457801,0.769820972,0.769820972,0.664961637,0.751918159,0.664961637,0.624040921,0.79028133,0.810741688
ArrowHead,0.542857143,0.605714286,0.731428571,0.742857143,0.571428571,0.714285714,0.737142857,0.708571429,0.8,0.702857143,0.8,0.777142857,0.834285714,0.8,0.788571429,0.805714286,0.794285714,0.805714286,0.817142857,0.788571429,0.72,0.76,0.737142857,0.845714286,0.594286,0.737142857,0.788571429,0.834285714,0.725714286,0.754285714,0.782857143,0.645714286,0.474285714,0.811428571,0.828571429,0.811428571,0.862857143
Beef,0.666666667,0.533333333,0.9,0.933333333,0.6,0.733333333,0.866666667,0.6,0.666666667,0.633333333,0.666666667,0.666666667,0.7,0.666666667,0.766666667,0.466666667,0.6,0.7,0.7,0.666666667,0.666666667,0.666666667,0.9,0.866666667,0.566667,0.6,0.433333333,0.8,0.766666667,0.566666667,0.6,0.733333333,0.733333333,0.633333333,0.633333333,0.866666667,0.933333333
BeetleFly,0.75,0.9,0.8,0.85,0.85,0.8,0.9,0.8,0.75,0.7,0.65,0.75,0.85,0.75,0.8,0.6,0.7,0.75,0.7,0.65,0.65,0.6,0.9,0.8,0.7,0.7,0.9,0.9,0.75,0.8,0.8,0.65,0.85,0.75,0.75,0.8,0.95
BirdChicken,0.55,0.8,0.65,0.8,0.6,0.75,0.85,0.6,0.55,0.75,0.7,0.85,0.9,0.75,0.8,0.85,0.85,0.85,0.75,0.85,0.8,0.85,0.8,0.8,0.75,0.75,1,0.95,0.8,0.9,1,0.85,0.95,0.8,0.75,0.9,0.85
Car,0.6,0.566666667,0.85,0.883333333,0.566666667,0.666666667,0.8,0.766666667,0.733333333,0.733333333,0.766666667,0.733333333,0.783333333,0.766666667,0.833333333,0.9,0.916666667,0.783333333,0.783333333,0.8,0.783333333,0.85,0.916666667,0.766666667,0.75,0.783333333,0.866666667,0.833333333,0.766666667,0.783333333,0.85,0.583333333,0.7,0.833333333,0.766666667,0.9,0.866666667
CBF,0.895555556,0.673333333,0.877777778,0.875555556,0.854444444,0.89,0.928888889,0.894444444,0.852222222,0.996666667,0.994444444,0.592222222,0.572222222,0.997777778,0.99,0.968888889,0.991111111,0.591111111,0.996666667,0.996666667,0.98,0.991111111,0.974444444,0.991111111,0.94,0.924444444,0.956666667,0.997777778,0.994444444,0.987777778,0.998888889,0.598888889,0.555555556,0.997777778,0.998888889,0.995555556,0.998888889
ChlorineConcentration,0.346354167,0.6875,0.584375,0.92421875,0.598958333,0.7125,0.847395833,0.861458333,0.65,0.6484375,0.65,0.683072917,0.69765625,0.659895833,0.719791667,0.627604167,0.6484375,0.68984375,0.64921875,0.708072917,0.713020833,0.63359375,0.699739583,0.592447917,0.546354,0.640625,0.654427083,0.6609375,0.719791667,0.692447917,0.607552083,0.661979167,0.722395833,0.65625,0.648697917,0.727083333,0.711979167
CinCECGtorso,0.846376812,0.589855072,0.46884058,0.651449275,0.83115942,0.738405797,0.805797101,0.461594203,0.897101449,0.650724638,0.930434783,0.710869565,0.939130435,0.887681159,0.946376812,0.961594203,0.846376812,0.910144928,0.85942029,0.724637681,0.852173913,0.715217391,0.954347826,0.869565217,0.85942,0.713768116,0.770289855,0.886956522,0.982608696,0.712318841,0.736231884,0.797826087,0.870289855,0.942028986,0.945652174,0.994927536,0.996376812
Coffee,0.928571429,0.928571429,1,1,0.964285714,1,1,0.964285714,1,1,1,0.928571429,0.964285714,1,1,0.892857143,1,0.964285714,1,1,1,0.964285714,0.964285714,1,0.928571,0.928571429,0.928571429,1,0.964285714,1,1,1,1,1,1,1,1
