Dataset t=2.5 t=3 t=3.5
FiftyWords 0.48 0.42 0.30
Adiac 0.16 0.13 0.09
Beef 0.23 0.20 0.20
CBF 0.84 0.88 0.89
ChlorineConcentration 0.52 0.53 0.53
CinCECGTorso 0.55 0.56 0.53
Coffee 0.75 0.39 0.46
CricketX 0.52 0.46 0.39
CricketY 0.57 0.55 0.41
CricketZ 0.50 0.43 0.35
DiatomSizeReduction 0.85 0.85 0.85
ECG200 0.85 0.82 0.81
ECGFiveDays 0.74 0.76 0.95
FaceAll 0.66 0.67 0.67
FaceFour 0.75 0.78 0.77
FacesUCR 0.63 0.68 0.69
Fish 0.68 0.62 0.52
GunPoint 0.94 0.95 0.92
Haptics 0.34 0.34 0.38
InlineSkate 0.18 0.21 0.20
ItalyPowerDemand 0.82 0.87 0.85
Lightning2 0.80 0.79 0.74
Lightning7 0.67 0.62 0.64
Mallat 0.59 0.64 0.63
MedicalImages 0.60 0.64 0.63
MoteStrain 0.78 0.80 0.80
OliveOil 0.60 0.77 0.70
OSULeaf 0.56 0.59 0.49
SonyAIBORobotSurface 0.80 0.74 0.76
SonyAIBORobotSurfaceII 0.81 0.83 0.80
StarLightCurves nan nan nan
SwedishLeaf 0.47 0.39 0.37
Symbols 0.51 0.44 0.48
SyntheticControl 0.89 0.88 0.85
Trace 0.80 0.84 0.92
TwoLeadECG 0.88 0.84 0.89
TwoPatterns 0.80 0.81 0.78
UWaveGestureLibraryX 0.54 0.37 0.26
UwaveGestureLibraryY 0.37 0.31 0.24
UwaveGestureLibraryZ 0.52 0.42 0.35
Wafer 0.99 0.99 0.99
WordSynonyms 0.47 0.42 0.37
Yoga 0.71 0.68 0.66
NonInvasiveFatalECGThorax1 nan nan nan
NonInvasiveFatalECGThorax2 nan nan nan
