Dataset a=0.6 a=0.7 a=0.8 a=0.9
50words 29.16 33.95 37.02 53.81
Adiac 18.40 18.85 35.84 40.79
Beef 5.00 48.50 57.83 58.83
CBF 26.91 27.03 27.04 27.56
ChlorineConcentration 5.33 5.32 7.71 40.01
CinC_ECG_torso 22.23 44.63 46.17 41.36
Coffee 12.32 11.43 45.89 46.43
Cricket_X 24.10 30.12 30.17 49.65
Cricket_Y 26.88 26.81 29.06 45.31
Cricket_Z 29.21 36.12 37.15 39.26
DiatomSizeReduction 11.75 10.98 10.88 11.03
ECG200 8.10 8.00 10.85 25.50
ECGFiveDays 6.28 6.35 6.34 19.81
FaceAll 24.44 24.35 24.34 39.55
FaceFour 19.83 19.83 20.06 20.57
FacesUCR 25.99 26.67 37.42 37.67
fish 23.03 20.83 36.94 36.97
Gun_Point 24.60 24.43 24.60 24.53
Haptics 6.51 7.39 38.17 38.21
InlineSkate 12.44 12.01 30.49 29.30
ItalyPowerDemand 5.87 23.89 37.11 37.22
Lighting2 5.00 5.00 5.00 5.90
Lighting7 12.88 14.32 13.84 13.84
MALLAT 17.44 17.46 45.13 98.53
MedicalImages 9.51 9.54 14.36 14.35
MoteStrain 7.69 7.66 7.78 7.70
OliveOil 18.83 18.83 18.83 84.17
OSULeaf 8.49 15.33 15.04 40.33
SonyAIBORobotSurface 5.00 5.00 5.00 5.00
SonyAIBORobotSurfaceII 13.01 13.12 12.79 12.97
StarLightCurves 8.19 10.36 11.92 14.62
SwedhLeaf 20.18 19.16 25.42 34.38
Symbols 5.00 5.00 31.79 31.93
synthetic_control 13.50 22.20 21.90 43.55
Trace 5.55 6.10 35.20 35.20
TwoLeadECG 23.80 23.42 23.56 23.71
Two_Patterns 44.92 84.92 89.50 97.44
uWaveGestureLibrary_X 35.27 42.43 46.34 56.26
uWaveGestureLibrary_Y 31.89 33.79 52.44 67.94
uWaveGestureLibrary_Z 31.16 42.82 45.40 55.20
wafer 5.31 5.31 6.38 7.05
WordsSynonyms 13.32 20.95 40.25 56.36
yoga 6.30 10.92 10.87 14.03
NonInvasiveFatalECG_Thorax1 8.81 8.89 14.43 19.18
NonInvasiveFatalECG_Thorax2 6.21 9.75 16.32 25.08
