Dataset sup=0 sup=0.05 sup=0.1 sup=0.2 sup=0.4 sup=0.8
FiftyWords 0.57 0.57 0.58 0.59 0.62 0.63
Adiac 0.40 0.60 0.60 0.60 0.60 0.61
Beef 0.50 0.50 0.50 0.50 0.50 0.50
CBF 0.85 0.85 0.85 0.85 0.86 0.85
ChlorineConcentration 0.62 0.65 0.65 0.65 0.65 0.65
CinCECGTorso 0.87 0.87 0.87 0.89 0.89 0.90
Coffee 0.75 0.75 0.75 0.71 0.75 0.79
CricketX 0.56 0.56 0.56 0.57 0.57 0.57
CricketY 0.63 0.63 0.64 0.64 0.64 0.64
CricketZ 0.59 0.59 0.62 0.62 0.62 0.62
DiatomSizeReduction 0.80 0.80 0.80 0.80 0.80 0.78
ECG200 0.89 0.90 0.89 0.88 0.88 0.88
ECGFiveDays 0.62 0.62 0.62 0.72 0.78 0.80
FaceAll 0.76 0.76 0.77 0.73 0.73 0.71
FaceFour 0.82 0.82 0.82 0.82 0.82 0.77
FacesUCR 0.71 0.71 0.73 0.74 0.76 0.77
Fish 0.75 0.75 0.78 0.77 0.78 0.78
GunPoint 0.87 0.87 0.91 0.91 0.91 0.91
Haptics 0.37 0.37 0.37 0.37 0.37 0.37
InlineSkate 0.33 0.33 0.33 0.34 0.34 0.34
ItalyPowerDemand 0.94 0.94 0.96 0.95 0.96 0.96
Lightning2 0.70 0.70 0.70 0.75 0.75 0.75
Lightning7 0.58 0.58 0.58 0.55 0.58 0.58
Mallat 0.85 0.85 0.85 0.85 0.88 0.88
MedicalImages 0.68 0.69 0.69 0.68 0.69 0.68
MoteStrain 0.88 0.88 0.88 0.88 0.87 0.86
OliveOil 0.90 0.90 0.90 0.90 0.90 0.87
OSULeaf 0.49 0.48 0.50 0.51 0.52 0.52
SonyAIBORobotSurface 0.69 0.69 0.69 0.71 0.69 0.69
SonyAIBORobotSurfaceII 0.85 0.85 0.85 0.85 0.85 0.85
StarLightCurves 0.15 0.85 0.85 0.85 0.85 0.85
SwedishLeaf 0.78 0.78 0.78 0.79 0.79 0.78
Symbols 0.81 0.81 0.81 0.81 0.81 0.85
SyntheticControl 0.88 0.87 0.87 0.87 0.87 0.88
Trace 0.74 0.74 0.73 0.75 0.75 0.76
TwoLeadECG 0.73 0.73 0.73 0.73 0.74 0.75
TwoPatterns 0.86 0.90 0.91 0.91 0.91 0.91
UWaveGestureLibraryX 0.73 0.74 0.74 0.74 0.74 0.74
UwaveGestureLibraryY 0.63 0.66 0.66 0.66 0.66 0.66
UwaveGestureLibraryZ 0.65 0.65 0.65 0.65 0.65 0.65
Wafer 0.99 0.99 0.99 0.99 1.00 1.00
WordSynonyms 0.59 0.59 0.60 0.61 0.61 0.62
Yoga 0.81 0.81 0.82 0.83 0.83 0.83
NonInvasiveFatalECGThorax1 0.81 0.82 0.82 0.82 0.82 0.82
NonInvasiveFatalECGThorax2 0.88 0.88 0.88 0.88 0.88 0.88
