Dataset sup=0 sup=0.05 sup=0.1 sup=0.2 sup=0.4 sup=0.8
FiftyWords 72.86 74.40 76.39 79.42 89.69 98.83
Adiac 59.09 59.09 59.09 67.83 85.37 90.02
Beef 76.50 76.50 76.50 76.50 92.75 92.75
CBF 71.50 71.50 71.50 75.88 96.19 100.00
ChlorineConcentration 66.07 99.86 100.00 100.00 100.00 100.00
CinCECGTorso 0.58 58.20 58.20 59.01 68.15 100.00
Coffee 83.94 83.94 83.94 85.45 86.44 91.41
CricketX 71.80 71.80 86.90 95.75 98.01 100.00
CricketY 66.49 66.49 90.5 97.69 98.52 100.00
CricketZ 67.86 67.93 88.10 96.20 99.42 100.00
DiatomSizeReduction 14.88 14.88 14.88 14.88 14.89 29.37
ECG200 60.11 67.41 71.73 74.25 74.25 75.10
ECGFiveDays 63.82 63.82 63.82 75.72 92.33 100.00
FaceAll 63.85 63.85 77.05 90.09 91.95 99.36
FaceFour 72.26 72.26 72.26 72.26 78.70 97.68
FacesUCR 87.21 87.21 89.04 92.53 96.34 98.25
Fish 60.94 60.94 69.12 83.67 87.16 92.61
GunPoint 46.92 46.92 62.83 65.13 66.23 100.00
Haptics 93.87 93.87 99.47 100.00 100.00 100.00
InlineSkate 85.08 85.08 85.08 95.42 95.85 100.00
ItalyPowerDemand 79.33 79.33 85.33 91.87 97.32 100.00
Lightning2 89.01 84.83 85.68 98.56 100.00 100.00
Lightning7 86.97 86.97 86.97 91.30 93.96 95.44
Mallat 69.32 69.32 69.32 69.40 75.54 76.41
MedicalImages 53.87 77.04 82.25 95.36 97.95 100.00
MoteStrain 79.06 79.06 79.06 79.06 90.70 91.48
OliveOil 87.34 87.34 87.34 87.34 88.00 93.75
OSULeaf 76.59 79.49 93.20 98.63 100.00 100.00
SonyAIBORobotSurface1 68.49 68.49 68.49 82.12 89.94 93.74
SonyAIBORobotSurface2 54.54 54.54 54.54 54.54 57.78 57.78
StarLightCurves 82.25 95.69 96.34 96.42 96.74 96.74
SwedishLeaf 76.27 76.66 88.84 94.15 96.05 97.74
Symbols 51.30 51.30 51.30 51.30 51.33 61.45
SyntheticControl 87.88 91.27 94.48 95.25 95.71 98.65
Trace 50.72 50.72 68.23 80.78 86.04 100.00
TwoLeadECG 64.43 64.43 64.43 84.00 84.27 100.00
TwoPatterns 86.52 98.86 99.88 99.92 100.00 100.00
UWaveGestureLibraryX 85.98 96.48 98.22 98.53 98.91 99.21
UWaveGestureLibraryY 86.29 97.85 98.31 99.31 99.61 100.00
UWaveGestureLibraryZ 85.03 97.40 99.10 99.72 100.00 100.00
Wafer 44.38 55.59 55.81 68.96 72.45 100.00
WordSynonyms 82.51 83.96 89.16 92.53 96.21 100.00
Yoga 69.41 91.56 96.45 100.00 100.00 100.00
NonInvasiveFatalECGThorax1 78.22 82.50 87.90 89.55 90.74 91.26
NonInvasiveFatalECGThorax2 76.84 81.87 88.08 90.47 91.84 93.64
