Dataset sup=0 sup=0.05 sup=0.1 sup=0.2 sup=0.4 sup=0.8
FiftyWords 77.10 78.89 80.53 84.70 92.43 98.95
Adiac 64.05 64.05 64.05 72.95 89.26 93.68
Beef 77.67 77.67 77.67 77.67 86.74 96.94
CBF 71.50 71.67 71.67 76.05 95.15 100.00
ChlorineConcentration 67.01 99.76 99.97 100.00 100.00 100.00
CinCECGTorso 59.91 59.91 59.91 60.80 70.82 100.00
Coffee 84.93 84.93 84.93 86.44 86.44 91.41
CricketX 73.26 73.26 89.38 96.94 98.77 99.41
CricketY 67.47 67.47 91.07 97.98 99.89 100.00
CricketZ 69.21 69.30 90.15 95.77 99.44 100.00
DiatomSizeReduction 14.88 14.88 14.88 14.88 14.89 29.37
ECG200 77.13 84.35 93.45 98.43 98.47 98.47
ECGFiveDays 63.82 63.82 63.82 75.72 91.65 100.00
FaceAll 68.25 68.25 83.88 94.76 96.53 98.36
FaceFour 89.51 89.51 89.51 89.51 97.12 97.68
FacesUCR 89.24 89.24 91.10 94.61 97.36 99.95
Fish 65.81 65.81 76.22 87.33 91.38 98.06
GunPoint 46.92 46.92 60.02 65.13 66.23 100.00
Haptics 93.90 93.90 99.61 100.00 100.00 100.00
InlineSkate 86.42 86.42 86.42 94.78 96.90 100.00
ItalyPowerDemand 79.33 79.33 85.33 91.87 97.32 100.00
Lightning2 89.01 84.83 85.68 98.56 99.64 100.00
Lightning7 86.98 86.98 86.97 86.98 86.97 91.00
Mallat 69.32 69.32 69.32 69.40 75.54 76.41
MedicalImages 54.85 77.32 81.56 95.06 97.91 100.00
MoteStrain 84.86 84.86 84.86 84.86 97.23 97.23
OliveOil 87.34 87.34 87.34 87.34 88.00 93.75
OSULeaf 78.20 82.49 94.44 97.89 99.95 100.00
SonyAIBORobotSurface1 68.49 68.49 68.49 82.12 89.94 93.74
SonyAIBORobotSurface2 55.81 55.81 55.81 55.81 57.12 57.78
StarLightCurves 82.83 96.21 96.47 96.59 96.6 96.74
SwedishLeaf 77.63 78.02 90.06 95.05 97.28 99.68
Symbols 46.23 46.23 46.23 46.23 49.33 55.73
SyntheticControl 89.97 94.33 98.00 98.35 99.46 99.68
Trace 51.98 51.98 70.88 77.83 91.18 100.00
TwoLeadECG 64.43 64.43 64.43 84.00 84.27 100.00
TwoPatterns 86.79 98.90 99.74 99.92 100.00 100.00
UWaveGestureLibraryX 86.90 97.79 98.89 99.04 99.49 100.00
UWaveGestureLibraryY 86.91 98.62 99.13 99.41 99.62 100.00
UWaveGestureLibraryZ 85.98 98.10 99.48 99.67 100.00 100.00
Wafer 44.38 55.59 55.81 68.96 72.45 100.00
WordSynonyms 83.40 85.27 90.44 93.93 96.50 100.00
Yoga 70.74 91.62 96.82 100.00 100.00 100.00
NonInvasiveFatalECGThorax1 81.54 85.99 91.82 93.67 94.34 95.29
NonInvasiveFatalECGThorax2 79.83 85.31 91.15 93.18 94.90 96.68
