Dataset t=2.5 t=3 t=3.5
FiftyWords 58.89 70.14 83.38
Adiac 84.55 87.94 91.04
Beef 93.61 91.94 92.56
CBF 31.85 35.03 34.66
ChlorineConcentration 33.33 42.67 52.96
CinCECGTorso 43.63 51.81 60.33
Coffee 54.23 58.38 62.20
CricketX 52.57 62.17 70.94
CricketY 45.10 55.55 66.15
CricketZ 56.12 67.24 73.30
DiatomSizeReduction 27.04 23.56 27.13
ECG200 23.24 25.81 36.78
ECGFiveDays 53.60 50.95 69.29
FaceAll 38.94 42.44 46.56
FaceFour 47.98 40.62 38.69
FacesUCR 51.58 64.33 70.82
Fish 47.70 54.46 58.78
GunPoint 45.58 46.20 49.92
Haptics 12.53 28.07 48.79
InlineSkate 46.69 50.02 59.36
ItalyPowerDemand 67.08 75.99 74.55
Lightning2 55.14 63.97 65.11
Lightning7 68.40 81.65 85.75
Mallat 39.96 58.58 64.95
MedicalImages 31.95 45.64 58.01
MoteStrain 38.08 41.42 45.51
OliveOil 38.82 37.49 47.11
OSULeaf 54.38 65.33 76.77
SonyAIBORobotSurface1 47.03 37.91 37.65
SonyAIBORobotSurface2 35.51 35.17 39.69
StarLightCurves nan nan nan
SwedishLeaf 62.34 68.92 74.53
Symbols 60.25 78.17 76.94
SyntheticControl 50.81 55.60 61.24
Trace 38.63 44.97 46.89
TwoLeadECG 46.85 48.49 50.96
TwoPatterns 64.04 64.32 64.44
UWaveGestureLibraryX 64.30 79.60 87.19
UWaveGestureLibraryY 70.14 81.32 89.37
UWaveGestureLibraryZ 61.18 76.83 83.68
Wafer 27.99 27.47 28.20
WordSynonyms 65.66 77.86 87.37
Yoga 38.57 52.15 67.18
NonInvasiveFatalECGThorax1 nan nan nan
NonInvasiveFatalECGThorax2 nan nan nan
