Dataset a=0.6 a=0.7 a=0.8 a=0.9
FiftyWords 29.21 38.98 48.53 58.71
Adiac 20.06 19.99 23.16 46.42
Beef 17.00 33.83 29.33 59.67
CBF 25.04 25.03 25.03 25.06
ChlorineConcentration 5.23 5.24 5.44 33.85
CinCECGTorso 30.43 42.26 51.62 54.06
Coffee 13.93 13.39 46.96 48.75
CricketX 28.64 28.77 30.62 31.42
CricketY 26.88 25.14 36.41 41.79
CricketZ 28.21 27.74 30.96 40.81
DiatomSizeReduction 12.19 10.64 10.75 11.47
ECG200 7.05 7.05 10.85 25.60
ECGFiveDays 6.35 6.36 6.32 18.38
FaceAll 23.33 23.36 25.94 32.12
FaceFour 19.72 20.11 20.23 24.77
FacesUCR 24.58 27.07 30.31 55.65
Fish 20.94 21.23 35.37 37.11
GunPoint 24.53 25.07 24.50 24.57
Haptics 14.77 20.58 31.19 47.27
InlineSkate 17.66 23.81 27.00 27.33
ItalyPowerDemand 6.75 23.87 37.23 37.34
Lightning2 5.00 5.00 5.00 6.07
Lightning7 11.58 16.44 15.75 28.42
Mallat 15.17 35.17 45.33 84.49
MedicalImages 10.59 10.18 11.18 14.08
MoteStrain 7.59 7.70 8.76 8.58
OliveOil 23.33 23.00 22.00 82.67
OSULeaf 8.82 10.99 12.69 16.74
SonyAIBORobotSurface1 5.00 5.00 5.00 5.00
SonyAIBORobotSurface2 13.48 12.76 12.83 12.95
StarLightCurves 8.18 9.96 11.73 13.87
SwedishLeaf 17.52 17.71 23.77 30.94
Symbols 5.00 5.00 5.00 33.48
SyntheticControl 11.63 19.07 23.05 40.35
Trace 6.40 6.20 34.25 35.20
TwoLeadECG 19.89 24.12 23.59 25.73
TwoPatterns 59.66 70.52 90.58 96.22
UWaveGestureLibraryX 36.45 38.94 43.45 60.21
UWaveGestureLibraryY 30.42 34.97 49.78 66.25
UWaveGestureLibraryZ 29.63 40.22 48.63 50.65
Wafer 5.31 5.31 6.38 7.18
WordSynonyms 18.17 20.74 31.91 63.58
Yoga 8.24 10.91 14.04 23.68
NonInvasiveFatalECGThorax1 7.71 9.17 12.80 18.22
NonInvasiveFatalECGThorax2 6.02 10.48 17.35 21.10
