Dataset a=0.6 a=0.7 a=0.8 a=0.9
FiftyWords 31.11 38.07 41.97 58.71
Adiac 20.90 19.99 23.24 46.42
Beef 8.83 36.67 26.33 57.83
CBF 25.03 25.03 25.05 25.27
ChlorineConcentration 5.23 5.24 5.44 33.86
CinCECGTorso 29.48 42.39 42.79 54.22
Coffee 13.93 12.32 46.96 48.04
CricketX 28.64 31.47 30.62 43.96
CricketY 25.95 25.68 36.41 39.29
CricketZ 27.08 27.74 30.96 40.85
DiatomSizeReduction 11.06 10.42 10.87 10.82
ECG200 7.05 7.05 10.85 25.60
ECGFiveDays 6.29 6.36 6.55 21.77
FaceAll 23.65 23.33 30.90 32.12
FaceFour 20.06 19.60 19.72 23.24
FacesUCR 25.10 26.28 31.34 55.65
Fish 20.94 26.91 35.31 36.97
GunPoint 25.33 25.20 24.53 24.57
Haptics 6.20 19.64 26.07 27.73
InlineSkate 21.36 23.90 27.67 24.98
ItalyPowerDemand 6.70 23.26 32.16 36.91
Lightning2 5.00 5.00 5.00 6.07
Lightning7 7.47 16.44 16.58 27.81
Mallat 19.00 35.67 43.30 84.94
MedicalImages 9.34 10.07 11.30 11.96
MoteStrain 7.71 7.76 8.72 8.80
OliveOil 18.83 23.17 20.67 84.67
OSULeaf 12.64 13.29 12.73 16.74
SonyAIBORobotSurface1 5.00 5.00 5.00 5.00
SonyAIBORobotSurface2 13.33 12.85 13.03 13.18
StarLightCurves 8.18 10.17 11.48 13.96
SwedishLeaf 17.00 17.80 27.49 26.66
Symbols 5.00 5.00 5.02 33.28
SyntheticControl 12.97 19.07 22.08 40.35
Trace 6.05 6.20 35.20 35.20
TwoLeadECG 19.87 23.78 23.74 24.93
TwoPatterns 55.41 70.52 90.58 96.22
UWaveGestureLibraryX 36.45 38.94 45.50 59.27
UWaveGestureLibraryY 30.42 34.97 49.78 65.70
UWaveGestureLibraryZ 29.63 40.22 48.63 50.65
Wafer 5.31 5.31 6.38 7.10
WordSynonyms 21.25 20.99 27.49 63.58
Yoga 6.30 10.91 10.83 23.69
NonInvasiveFatalECGThorax1 7.63 10.03 12.73 21.55
NonInvasiveFatalECGThorax2 6.56 10.48 16.45 24.15
