Dataset t=0.001 t=0.1 t=0.5 t=0.9
FiftyWords 84.95 90.79 92.20 95.45
Adiac 91.20 95.41 96.04 98.03
Beef 0.21 7.30 25.70 71.97
CBF 0.80 6.71 23.08 52.02
ChlorineConcentration 96.02 97.29 97.59 98.32
CinCECGTorso 45.96 54.12 56.58 64.62
Coffee 5.53 30.96 38.44 63.72
CricketX 62.71 76.01 78.68 84.86
CricketY 67.90 79.99 82.36 87.90
CricketZ 72.05 78.57 80.36 84.60
DiatomSizeReduction 25.35 31.64 33.49 40.59
ECG200 41.71 63.70 68.81 84.77
ECGFiveDays 0.74 1.63 15.84 73.24
FaceAll 92.33 95.54 96.27 97.92
FaceFour 24.58 31.25 34.22 45.14
FacesUCR 82.89 90.80 92.71 96.65
Fish 75.39 83.34 85.42 90.51
GunPoint 62.14 69.42 71.33 79.67
Haptics 2.12 43.45 57.89 78.91
InlineSkate 72.41 85.10 87.31 92.70
ItalyPowerDemand 5.09 27.10 35.92 64.19
Lightning2 37.91 57.89 61.16 71.89
Lightning7 76.65 83.74 85.23 89.72
Mallat 13.97 35.92 44.01 67.43
MedicalImages 75.04 86.64 88.96 93.78
MoteStrain 82.72 89.36 90.94 95.49
OliveOil 0.33 12.09 18.76 43.18
OSULeaf 93.58 96.44 97.10 98.48
SonyAIBORobotSurface 36.51 53.54 57.70 76.59
SonyAIBORobotSurfaceII 50.97 66.97 70.86 80.31
StarLightCurves 85.08 88.86 90.02 93.59
SwedishLeaf 84.96 90.57 91.96 95.44
Symbols 10.08 38.18 45.82 61.85
SyntheticControl 37.66 65.83 71.54 85.11
Trace 49.98 71.31 77.82 86.32
TwoLeadECG 73.63 81.40 83.63 89.57
TwoPatterns 86.87 90.72 91.82 94.80
UWaveGestureLibraryX 78.92 88.04 90.09 94.90
UwaveGestureLibraryY 56.14 77.86 81.96 90.58
UwaveGestureLibraryZ 77.26 89.46 91.80 96.39
Wafer 12.65 25.48 30.75 49.60
WordSynonyms 85.48 90.19 91.40 94.60
Yoga 78.67 85.62 87.28 91.65
NonInvasiveFatalECGThorax1 89.39 92.59 93.47 95.95
NonInvasiveFatalECGThorax2 86.97 91.06 92.16 95.33
