Dataset t=0.001 t=0.1 t=0.5 t=0.9
FiftyWords 79.86 86.65 89.57 91.69
Adiac 90.69 94.19 95.71 96.78
Beef 0.21 1.28 52.60 70.97
CBF 0.80 3.58 31.96 48.62
ChlorineConcentration 95.32 96.71 97.31 97.72
CinCECGTorso 45.83 52.34 56.35 59.56
Coffee 5.11 29.65 40.33 56.58
CricketX 59.08 74.00 79.90 83.28
CricketY 64.54 78.50 83.33 86.15
CricketZ 71.33 78.81 81.84 84.12
DiatomSizeReduction 32.55 37.83 41.18 44.62
ECG200 32.05 52.97 63.93 70.99
ECGFiveDays 0.74 1.63 51.60 73.24
FaceAll 86.81 91.15 93.39 94.87
FaceFour 24.80 30.84 34.50 38.68
FacesUCR 77.09 85.69 89.70 92.62
Fish 70.00 76.30 80.72 83.84
GunPoint 65.77 71.61 75.16 78.94
Haptics 1.13 38.26 63.69 75.47
InlineSkate 69.62 81.95 87.52 90.29
ItalyPowerDemand 5.24 28.27 50.10 64.97
Lightning2 21.72 51.78 60.27 65.90
Lightning7 72.92 78.75 82.63 84.75
Mallat 12.77 29.81 44.22 58.14
MedicalImages 67.68 80.85 86.61 90.07
MoteStrain 46.08 58.12 65.68 72.28
OliveOil 0.32 9.45 20.30 35.96
OSULeaf 90.76 94.64 96.31 97.37
SonyAIBORobotSurface 53.76 68.75 77.19 83.59
SonyAIBORobotSurfaceII 53.00 66.80 73.18 77.43
StarLightCurves 88.61 91.88 93.51 94.55
SwedishLeaf 80.83 87.09 90.08 92.34
Symbols 10.56 33.50 47.67 56.93
SyntheticControl 26.62 58.81 69.79 78.01
Trace 57.23 75.53 82.09 85.10
TwoLeadECG 84.65 88.83 90.86 92.34
TwoPatterns 72.53 79.55 83.24 86.16
UWaveGestureLibraryX 72.93 84.75 89.00 91.95
UwaveGestureLibraryY 48.61 73.48 82.07 87.02
UwaveGestureLibraryZ 70.19 86.21 91.29 94.18
Wafer 11.94 23.67 28.27 33.49
WordSynonyms 82.15 87.13 89.61 91.39
Yoga 78.41 84.42 87.30 89.22
NonInvasiveFatalECGThorax1 85.98 89.23 90.88 92.35
NonInvasiveFatalECGThorax2 82.59 87.04 89.39 91.35
