dataset,earliness_factor,entropy_factor,ptsepsilon,accuracy,earliness
CBF,0.6,0.01,20,0.6666666666666666,0.23355203866958618
Coffee,0.8,0.01,10,0.5357142857142857,0.0
CinCECGTorso,0.7,0.01,10,0.6797101449275362,0.5570402145385742
Trace,0.6,0.1,0,0.7,0.33342838287353516
Symbols,0.8,0.01,20,0.7135678391959799,0.20077091455459595
CinCECGTorso,0.7,0.1,0,0.6659420289855073,0.4979863464832306
MedicalImages,0.8,0.0,10,0.7197368421052631,0.33593305945396423
FiftyWords,0.6,0.1,0,0.09230769230769231,0.0
CBF,0.8,0.0,0,0.9433333333333334,1.0
CricketX,0.6,0.0,0,0.6948717948717948,0.4050413966178894
ItalyPowerDemand,0.8,0.0,10,0.7677356656948494,1.0
GunPoint,0.7,0.0,10,0.49333333333333335,0.0
ECGFiveDays,0.9,0.01,10,0.6144018583042973,0.571590781211853
Fish,0.8,0.0,0,0.8628571428571429,1.0
Coffee,0.6,0.01,5,0.4642857142857143,0.0
FaceAll,0.6,0.01,0,0.8715976331360947,0.29891321063041687
ChlorineConcentration,0.9,0.01,0,0.546875,0.10938288271427155
Wafer,0.8,0.01,5,0.9907527579493836,0.3082137703895569
ChlorineConcentration,0.7,0.01,20,0.5369791666666667,0.04474274069070816
FacesUCR,0.8,0.01,20,0.844390243902439,1.0
ItalyPowerDemand,0.7,0.1,0,0.738581146744412,0.4637434482574463
CBF,0.8,0.1,0,0.84,0.4941199719905853
Mallat,0.7,0.01,10,0.5049040511727079,0.4629216194152832
Wafer,0.6,0.01,10,0.9344581440622972,0.11466217786073685
ChlorineConcentration,0.7,0.01,0,0.53828125,0.02246369980275631
OliveOil,0.8,0.1,0,0.4,0.0
Yoga,0.6,0.0,0,0.5356666666666666,0.00012307050928939134
UWaveGestureLibraryX,0.9,0.1,10,0.7481853713009492,0.642003059387207
Fish,0.9,0.0,0,0.7828571428571428,1.0
ECGFiveDays,0.8,0.01,0,0.7259001161440186,0.5042999982833862
SyntheticControl,0.8,0.0,0,0.9833333333333333,1.0
InlineSkate,0.6,0.01,0,0.18181818181818182,0.044541727751493454
