dataset,earliness_factor,accuracy,earliness
MoteStrain,0.6,0.5,0.0
FaceAll,0.7,0.9589285714285715,0.3485576808452606
ECG200,0.9,0.92,0.4418947696685791
ECG200,0.7,0.96,0.22547367215156555
Beef,0.9,0.9,1.0
NonInvasiveFatalECGThorax1,0.7,0.8055555555555556,0.22128617763519287
CBF,0.7,1.0,1.0
Coffee,0.8,0.4642857142857143,0.0
Haptics,0.6,0.6903225806451613,0.20674137771129608
CricketY,0.6,0.8743589743589744,0.4369693994522095
CinCECGTorso,0.9,1.0,1.0
FaceAll,0.9,0.9821428571428571,0.5462087988853455
UWaveGestureLibraryX,0.6,0.7511160714285714,0.4716396927833557
Lightning2,0.8,0.8166666666666667,0.16884173452854156
SonyAIBORobotSurface2,0.8,0.9629629629629629,0.265625
DiatomSizeReduction,0.9,1.0,0.45930230617523193
Beef,0.7,0.9333333333333333,1.0
DiatomSizeReduction,0.8,0.9375,0.27561771869659424
CinCECGTorso,0.7,0.875,0.4510378837585449
Adiac,0.8,0.46923076923076923,0.40364834666252136
UWaveGestureLibraryZ,0.7,0.7287946428571429,0.5283709764480591
Mallat,0.8,1.0,0.7540388703346252
CricketX,0.6,0.8615384615384616,0.43334195017814636
ItalyPowerDemand,0.6,0.5373134328358209,0.04802076518535614
Fish,0.8,0.8628571428571429,0.5816079378128052
InlineSkate,0.9,0.45,0.5116321444511414
TwoLeadECG,0.7,0.782608695652174,0.2796564996242523
NonInvasiveFatalECGThorax2,0.6,0.8155555555555556,0.1489274799823761
CBF,0.8,1.0,1.0
InlineSkate,0.6,0.31,0.04193514212965965
Fish,0.7,0.84,0.515275239944458
ECGFiveDays,0.7,0.782608695652174,0.15684378147125244
FacesUCR,0.7,0.93,0.4038461744785309
Trace,0.9,0.95,0.7390875816345215
Symbols,0.7,0.96,0.5374307036399841
WordSynonyms,0.7,0.22846441947565543,0.0
Adiac,0.6,0.023076923076923078,1.465201421524398e-05
DiatomSizeReduction,0.7,0.9375,0.25472384691238403
Symbols,0.9,0.96,0.6015112996101379
Haptics,0.9,0.7483870967741936,0.5196652412414551
OliveOil,0.8,0.43333333333333335,0.0
TwoLeadECG,0.6,0.8260869565217391,0.2474503368139267
InlineSkate,0.7,0.36,0.08883040398359299
Wafer,0.9,0.99,0.2810264825820923
ECGFiveDays,0.9,1.0,0.4975845515727997
Coffee,0.9,0.5,0.0
WordSynonyms,0.9,0.7677902621722846,1.0
SwedishLeaf,0.9,0.902,0.6692913770675659
OliveOil,0.6,0.43333333333333335,0.0
FiftyWords,0.6,0.12,0.0
CBF,0.9,1.0,0.39580056071281433
FaceFour,0.6,1.0,0.270534873008728
