dataset,phase1_accuracy,phase1_earliness,phase2_accuracy,phase2_earliness
NonInvasiveFatalECGThorax1,0.494147582697201,0.99055165,0.8513994910941476,0.52869
SyntheticControl,0.98,1.0,0.9566666666666668,0.05977401
Wafer,0.9944841012329656,0.13585722,0.9952952628163529,0.10176372
Adiac,0.1636828644501279,1.0,0.2352941176470588,0.9978078000000001
Symbols,0.8864321608040201,0.9999998999999999,0.8180904522613065,0.2182145
CricketY,0.6692307692307692,1.0,0.676923076923077,1.0
NonInvasiveFatalECGThorax2,0.7435114503816794,0.25592124,0.8743002544529263,0.08852447599999999
Beef,0.4,0.0,0.7666666666666667,1.0
CricketX,0.6948717948717948,1.0,0.6743589743589744,0.5484178000000001
SonyAIBORobotSurface2,0.8730325288562435,1.0,0.8373557187827911,0.00026232947
FaceFour,0.8977272727272727,0.016215161999999998,0.9318181818181818,0.07085179
ItalyPowerDemand,0.9552964042759962,0.9980986,0.9543245869776482,0.77796084
WordSynonyms,0.6112852664576802,1.0,0.5846394984326019,1.0
GunPoint,0.64,1.0,0.7733333333333333,0.09038031
MoteStrain,0.7955271565495208,0.0,0.7731629392971247,0.0
UWaveGestureLibraryY,0.6834170854271356,1.0,0.7169179229480737,0.74306244
Lightning2,0.7868852459016393,0.9587585999999999,0.6885245901639344,0.42836890000000005
Mallat,0.6298507462686567,0.9869962999999999,0.5808102345415779,0.48827085
CinCECGTorso,0.6579710144927536,1.0,0.7442028985507246,0.83808815
SwedishLeaf,0.7744,1.0,0.9136,0.18039687
Coffee,0.6785714285714286,0.0,0.4642857142857143,0.0
CBF,0.8922222222222222,1.0,0.8944444444444445,0.34902012
UWaveGestureLibraryZ,0.7049134561697376,0.98032355,0.7247347850362926,0.5545401999999999
StarLightCurves,0.8564837299660029,0.7933935000000001,0.9431762991743564,0.31251115
ECG200,0.94,0.6776842,0.88,0.17505264
OliveOil,0.4,0.0,0.16666666666666666,1.0
UWaveGestureLibraryX,0.6959798994974874,1.0,0.7788944723618091,1.0
ChlorineConcentration,0.35963541666666665,0.0,0.5546875,0.0
Lightning7,0.7397260273972602,0.9999998999999999,0.7534246575342466,0.9999998999999999
OSULeaf,0.6322314049586777,0.92217624,0.6694214876033058,1.0
SonyAIBORobotSurface1,0.870216306156406,1.0,0.8053244592346089,0.005088138
Haptics,0.24675324675324675,0.0,0.3474025974025974,0.0
TwoLeadECG,0.8305531167690957,1.0,0.6031606672519754,0.18825263
FacesUCR,0.9151219512195122,0.47272795,0.8804878048780488,0.05915948
Yoga,0.71,0.99999994,0.7776666666666666,0.5357536999999999
TwoPatterns,0.501,0.0,0.5945,0.0
Fish,0.7314285714285714,1.0,0.84,0.9096351999999999
Trace,0.77,1.0,1.0,1.0
InlineSkate,0.18181818181818185,0.0,0.1690909090909091,0.0
FaceAll,0.9118343195266272,1.0,0.9260355029585798,0.06616295
ECGFiveDays,0.9988385598141696,1.0,0.989547038327526,0.041691396
CricketZ,0.6743589743589744,1.0,0.7461538461538462,1.0
FiftyWords,0.7164835164835165,0.98578376,0.7274725274725274,0.49055108
MedicalImages,0.7131578947368421,0.36734690000000003,0.6868421052631579,0.35459185
DiatomSizeReduction,0.7745098039215687,1.0,0.9411764705882352,0.12303351
