dataset,phase1_accuracy,phase1_earliness,phase2_accuracy,phase2_earliness
NonInvasiveFatalECGThorax1,0.7638676844783715,0.98196685,0.8605597964376591,0.09556968
SyntheticControl,0.9833333333333332,1.0,0.9,0.0
Adiac,0.21739130434782608,0.23348191,0.3427109974424553,0.9783704
Symbols,0.807035175879397,0.9999998999999999,0.8432160804020101,0.2253636
CricketY,0.6743589743589744,1.0,0.6974358974358974,1.0
Beef,0.5,0.0,0.7,1.0
CricketX,0.6820512820512821,0.45858842,0.7076923076923077,0.39452013
SonyAIBORobotSurface2,0.8751311647429171,1.0,0.8352570828961176,0.0
FaceFour,0.875,0.0046561607,0.8636363636363636,0.0
WordSynonyms,0.5830721003134797,1.0,0.5940438871473355,1.0
GunPoint,0.76,1.0,0.8466666666666667,0.0
MoteStrain,0.8083067092651757,0.0,0.7939297124600639,0.0
UWaveGestureLibraryY,0.6552205471803462,1.0,0.692071468453378,0.45449823
CinCECGTorso,0.6760869565217391,1.0,0.6956521739130435,0.42626393
SwedishLeaf,0.8624,1.0,0.9056,0.12444724
CBF,0.8811111111111111,1.0,0.7688888888888888,0.0036832895
StarLightCurves,0.7762263234579894,1.3174404999999999e-05,0.8283147158814959,0.24047609
OliveOil,0.4,0.0,0.4,0.0
SonyAIBORobotSurface1,0.9134775374376041,1.0,0.826955074875208,0.004846994
TwoLeadECG,0.8340649692712906,1.0,0.7471466198419666,0.13209552
FacesUCR,0.9131707317073172,0.11861539,0.8648780487804878,0.030833022999999998
Yoga,0.6396666666666667,0.99999994,0.7543333333333333,0.24718118
Fish,0.8628571428571429,1.0,0.8285714285714286,0.33845395
Trace,0.77,1.0,0.78,0.37324822
InlineSkate,0.15272727272727274,0.0,0.19272727272727272,0.0
FaceAll,0.8704142011834319,1.0,0.9124260355029584,0.04406009
ECGFiveDays,1.0,1.0,0.9744483159117304,0.004533918
CricketZ,0.7282051282051282,1.0,0.676923076923077,0.58908325
FiftyWords,0.7494505494505495,0.9708810999999999,0.7384615384615385,0.31449
MedicalImages,0.6710526315789473,0.27540278,0.7,0.23451932
DiatomSizeReduction,0.6666666666666666,1.0,0.9052287581699346,0.0
