dataset,phase1_accuracy,phase1_earliness,phase2_accuracy,phase2_earliness
Beef,0.2,0.0012082445,0.6,1.0
CricketX,0.7384615384615385,1.0,0.7358974358974358,1.0
SonyAIBORobotSurface2,0.8793284365162645,0.9962290000000001,0.8142707240293809,0.39895397
FaceFour,0.2840909090909091,0.03975645,0.7727272727272727,1.0
ItalyPowerDemand,0.8581146744412049,0.9964086,0.8940719144800777,0.9903241
WordSynonyms,0.5015673981191222,1.0,0.6175548589341693,1.0
GunPoint,0.82,0.9682774,0.9533333333333334,1.0
MoteStrain,0.4568690095846645,6.7362096e-05,0.8274760383386581,0.9999998999999999
UWaveGestureLibraryY,0.5840312674483529,0.9849708,0.6733668341708543,1.0
Lightning2,0.7704918032786885,0.9363336,0.7049180327868853,0.63385403
Mallat,0.5594882729211087,0.5189165,0.6520255863539446,1.0
CinCECGTorso,0.6818840579710145,0.97235805,0.7021739130434783,0.66556776
SwedishLeaf,0.8528,0.80763465,0.8544,0.5749543
Coffee,0.5357142857142857,0.0,0.5357142857142857,0.0
CBF,0.8444444444444444,0.6494926,0.8066666666666666,1.0
UWaveGestureLibraryZ,0.6845337800111669,1.0,0.7255723059743159,1.0
StarLightCurves,0.868382710053424,0.37868850000000004,0.9305488101019912,0.34082840000000003
ECG200,0.85,0.6207369,0.86,0.3452632
OliveOil,0.4,0.0,0.4,0.0
UWaveGestureLibraryX,0.7269681742043551,1.0,0.7805695142378559,1.0
ChlorineConcentration,0.5380208333333333,0.20115213,0.5510416666666667,0.23788351
Lightning7,0.5205479452054794,0.7850435,0.7397260273972602,0.9999998999999999
OSULeaf,0.628099173553719,1.0,0.6859504132231405,1.0
SonyAIBORobotSurface1,0.7088186356073212,0.9996865,0.8818635607321131,0.31722490000000003
Haptics,0.4025974025974026,0.39701453,0.4318181818181818,0.65062433
TwoLeadECG,0.9798068481123792,0.9909385,0.90342405618964,0.5967439999999999
FacesUCR,0.8560975609756097,1.0,0.8595121951219512,1.0
Yoga,0.6809999999999999,0.40223292,0.7559999999999999,0.55824864
TwoPatterns,0.89575,1.0,0.93,1.0
Fish,0.7828571428571428,0.86780465,0.8342857142857143,0.6811132
Trace,0.85,0.98058397,0.95,0.7170073
InlineSkate,0.20727272727272728,0.37242085,0.2818181818181818,0.5208640999999999
FaceAll,0.936094674556213,0.89115155,0.9355029585798816,0.15309969
ECGFiveDays,1.0,0.9964813,0.9814169570267132,0.07539037
CricketZ,0.7307692307692307,0.7810307,0.7435897435897436,0.39622673
FiftyWords,0.7142857142857143,0.31672046,0.7274725274725274,0.40426487
MedicalImages,0.6881578947368421,0.32052898,0.7197368421052631,0.36401722
DiatomSizeReduction,0.7352941176470589,0.877337,0.9477124183006536,0.0874183
