dataset,phase1_accuracy,phase1_earliness,phase2_accuracy,phase2_earliness
SyntheticControl,0.9833333333333332,1.0,0.9,0.0
Adiac,0.20460358056265984,0.41132626,0.3145780051150895,0.11435877
Symbols,0.8040201005025126,0.9999998999999999,0.8040201005025126,0.12649646
CricketY,0.4897435897435897,0.035554413,0.7153846153846154,0.21629363
Beef,0.36666666666666653,0.0,0.3333333333333333,0.0
CricketX,0.6384615384615384,0.33696082,0.6717948717948717,0.304425
SonyAIBORobotSurface2,0.8593913955928646,1.0,0.8478488982161595,0.0
FaceFour,0.8068181818181818,0.0050468873,0.8977272727272727,0.027741604
WordSynonyms,0.2899686520376176,0.0,0.32445141065830724,0.0
GunPoint,0.64,1.0,0.8866666666666667,0.0
MoteStrain,0.7947284345047924,0.0,0.7851437699680511,0.0
UWaveGestureLibraryY,0.506141820212172,0.0,0.6711334450027917,0.2184605
CinCECGTorso,0.6920289855072463,1.0,0.4601449275362319,0.011599953999999999
SwedishLeaf,0.8864,1.0,0.92,0.09962835
CBF,0.9055555555555556,1.0,0.8288888888888889,0.0
StarLightCurves,0.8352355512384653,0.0,0.9344341913550268,0.0770457
OliveOil,0.16666666666666666,0.0,0.4,0.0
SonyAIBORobotSurface1,0.8452579034941764,1.0,0.8286189683860233,0.0042923629999999996
TwoLeadECG,0.8525021949078139,1.0,0.6848112379280071,0.019737912
FacesUCR,0.9097560975609756,0.16357599,0.8707317073170732,0.034885556
Yoga,0.7513333333333333,0.99999994,0.7686666666666667,0.13725176
Fish,0.8571428571428571,1.0,0.6914285714285714,0.10175633
Trace,0.8,1.0,0.67,0.011204378999999999
InlineSkate,0.18363636363636365,0.0,0.16,0.0
FaceAll,0.8982248520710059,1.0,0.9218934911242604,0.039918076000000004
ECGFiveDays,1.0,1.0,0.9698025551684089,0.007992429
CricketZ,0.4641025641025641,0.040768373999999996,0.6846153846153846,0.23244147
FiftyWords,0.7494505494505495,0.97055435,0.7098901098901099,0.18654355
MedicalImages,0.7210526315789474,0.5692669,0.7171052631578947,0.16088884
DiatomSizeReduction,0.8039215686274509,1.0,0.9738562091503268,0.0
