,hidden_dims,learning_rate,num_layers,shapelet_width_increment,mean_accuracy,std_accuracy,nfolds,runs,dataset
0,50,0.01,5,50,0.8576411451675723,0.03188855617487616,3,82,NonInvasiveFatalECGThorax1
0,75,0.01,8,30,1.0,0.0,6,54,SyntheticControl
0,50,0.01,4,70,1.0,0.0,3,54,Wafer
0,50,0.01,7,10,0.46230158730158727,0.12693761548986754,3,82,Adiac
0,25,0.01,4,50,1.0,0.0,3,72,Symbols
0,100,0.01,6,70,0.7771164021164022,0.03713728873377369,3,110,CricketY
0,50,0.01,6,70,0.886454395968138,0.02295105994314292,6,54,NonInvasiveFatalECGThorax2
0,50,0.1,4,30,0.6984126984126983,0.28703398920674805,3,72,Beef
0,50,0.01,7,50,0.7817460317460317,0.045070701157145086,3,110,CricketX
0,50,0.01,4,30,0.9333333333333332,0.10327955589886442,6,54,SonyAIBORobotSurface2
0,25,0.1,6,50,0.8333333333333334,0.2886751345948129,3,110,FaceFour
0,50,0.01,4,50,1.0,0.0,6,54,ItalyPowerDemand
0,75,0.1,4,70,0.6472800620803963,0.10825202912316736,3,110,WordSynonyms
0,75,0.01,7,50,0.9333333333333332,0.11547005383792512,3,110,GunPoint
0,50,0.1,6,10,1.0,0.0,3,110,MoteStrain
0,75,0.01,7,50,0.7161972927303341,0.04054634718130884,3,72,UWaveGestureLibraryY
0,100,0.01,4,70,0.912962962962963,0.07647049513056914,6,54,Lightning2
0,100,0.01,8,70,0.7444444444444445,0.17213259316477408,6,54,Mallat
0,25,0.01,7,30,1.0,,1,74,CinCECGTorso
0,25,0.01,6,30,0.8645290970518934,0.024497371432587227,3,72,SwedishLeaf
0,75,0.1,6,30,0.9028571428571428,0.13642670155786654,5,54,Coffee
0,25,0.1,4,30,1.0,0.0,3,72,CBF
0,100,0.01,8,30,0.7280232714554749,0.04396249666986354,6,54,UWaveGestureLibraryZ
0,75,0.01,8,30,0.9443053798256841,0.028375678344845754,3,21,StarLightCurves
0,100,0.01,6,30,0.9236842105263158,0.08610800836356504,4,54,ECG200
0,50,0.1,6,10,0.8015873015873015,0.2160421839494635,3,110,OliveOil
0,100,0.01,8,70,0.7951865933321846,0.016547046980291927,6,54,UWaveGestureLibraryX
0,75,0.01,6,50,0.5881802159065873,0.027804122496315774,6,54,ChlorineConcentration
0,75,0.1,4,50,0.5490909090909091,0.2152837834998645,5,54,Lightning7
0,100,0.01,8,70,0.7057523551425992,0.11410909977272617,6,54,OSULeaf
0,25,0.01,4,10,0.8333333333333334,0.28867513459481287,3,110,SonyAIBORobotSurface1
0,75,0.01,8,70,0.4345982142857143,0.10112929260248443,4,54,Haptics
0,75,0.01,4,10,0.8888888888888888,0.19245008972987532,3,72,TwoLeadECG
0,100,0.01,8,30,0.9707058975351659,0.005812306870472836,3,110,FacesUCR
0,50,0.01,4,50,0.8368140465281876,0.04922588525504206,3,72,Yoga
0,100,0.01,8,30,0.9924084695518371,0.006109203019558582,6,54,TwoPatterns
0,25,0.01,7,50,0.8400673400673401,0.0992695150693978,3,110,Fish
0,25,0.01,4,10,1.0,0.0,3,110,Trace
0,100,0.01,4,30,0.3157894736842105,,1,18,InlineSkate
0,25,0.01,6,50,0.9784130762750053,0.014913557792329564,3,110,FaceAll
0,25,0.01,4,50,1.0,0.0,3,72,ECGFiveDays
0,75,0.01,8,50,0.7718253968253969,0.05660850245113932,6,54,CricketZ
0,50,0.01,6,50,0.7236976004794372,0.05234136716031654,6,72,FiftyWords
0,75,0.01,7,10,0.7587965306604568,0.04305029035806557,3,72,MedicalImages
0,75,0.01,6,70,1.0,0.0,2,110,DiatomSizeReduction
